k,coef,se,pval,ci_lo,ci_hi,col
-4,-0.12390604425891812,0.08311615370411837,0.1360334708398374,-0.28681592818565965,0.039003839667823406,evt_k_le-4
-3,-0.1184765331160737,0.08039176347676029,0.14056001713451516,-0.2760465393423862,0.03909347311023878,evt_k-3
-2,-0.0952406539535863,0.06759121713985544,0.1588231440618233,-0.22772124705128433,0.03723993914411172,evt_k-2
-1,0.0,0.0,1.0,0.0,0.0,reference
0,0.09464241540915957,0.05707429612846873,0.09727897617213377,-0.01722473126594702,0.20650956208426618,evt_k+0
1,0.08363427276446396,0.06101275704151709,0.170455745695143,-0.035952362621330225,0.20322090815025814,evt_k+1
2,0.21537459279986457,0.06490285527631001,0.0009061542297974512,0.08816326084606335,0.3425859247536658,evt_k+2
3,0.18657884090921736,0.0747945899765473,0.012615932132804542,0.03997944442121801,0.33317823739721675,evt_k+3
4,0.2657063379038879,0.07521842466729095,0.00041219756641908134,0.11827621408797381,0.413136461719802,evt_k+4
5,0.22240005851043998,0.08073503974327659,0.005877574720849488,0.06415722162196699,0.38064289539891294,evt_k+5
6,0.18551759602250836,0.0830060218200029,0.02542384902762862,0.0228235735337462,0.3482116185112705,evt_k+6
7,0.21124122642354093,0.08551895316214579,0.01351152955521373,0.043621791304140095,0.37886066154294173,evt_k+7
8,0.339699348975604,0.09347084226613074,0.00027912576382216336,0.15649399856541513,0.5229046993857929,evt_k_ge8
