Variable,Never-treated Mean,Never-treated SD,Never-treated N,Switchers (pre) Mean,Switchers (pre) SD,Switchers (pre) N,Always-treated Mean,Always-treated SD,Always-treated N
Alcaldesa (D),0.0,0.0,25016,0.0,0.0,4036,1.0,0.0,1704
ln(Población),9.436187078869523,1.6223610236298653,25016,9.946927200445986,1.501437383004676,4036,9.157996377347418,1.7003604704853943,1704
Pob. adulta mujeres,17823.108970259033,52244.73355692282,25016,28563.680128840435,72824.53150460319,4036,24853.647887323943,89175.5463058116,1704
Contratos totales (asinh),6.977003370418102,2.448072418385902,25016,7.671585088619325,2.0262275383456667,4036,6.832403625862596,2.282179416340452,1704
Contratos totales (pc),3324.3207467802204,6414.845538938905,25016,4021.5425496907037,7055.40315978611,4036,3475.86847651573,11637.907394515683,1704
Tarjetas débito (asinh),7.002226153011656,2.334555221382169,25016,7.314581680855842,2.545309835117398,4036,6.733807040673111,2.2608162054654577,1704
Tarjetas débito (pc),3404.241720692798,7423.714099758654,25016,4328.49624907,7858.46310631222,4036,2805.646035210855,7915.206117803088,1704
Tarjetas crédito (asinh),5.784704027559127,2.376005060882123,25016,6.315004426273803,2.2363459397231717,4036,5.689100574532271,2.236442508013108,1704
Tarjetas crédito (pc),792.0383461510737,1435.7658405574819,25016,1055.229634428461,2352.5061068351074,4036,791.1801349739113,6359.454917273032,1704
Créditos hipotecarios (asinh),2.0875928591614885,2.0066753822500503,25016,2.641281925735257,1.9553809733960599,4036,1.8503805845345116,2.1985417795231923,1704
Créditos hipotecarios (pc),38.84591266396758,289.2251173575117,25016,34.4254585003966,74.1882741316639,4036,46.35970160334621,171.74991591239657,1704
Saldo total (asinh),13.634848224418784,5.376508956335662,25016,15.078103658374475,4.470270572549426,4036,13.426487983684687,4.815278654953266,1704
Saldo total (pc),77482761.14899828,206848142.05396473,25016,91589713.24200296,176650788.59030098,4036,63808436.524878934,171990496.91390163,1704
N municipios,1476.0,,,600.0,,,101.0,,
